40000,281
1600040000,295
3200040000,332
4800040000,363
6400040000,403
8000040000,431
9600040000,448
11200040000,471
12800040000,509
14400040000,554
16000040000,583
17600040000,608
19200040000,644
20800040000,664
22400040000,726
24000040000,760
25600040000,805
27200040000,824
28800040000,861
30400040000,918
32000040000,924
33600040000,999
35200040000,993
36800040000,1080
38400040000,1043
40000040000,1103
41600040000,1151
43200040000,1236
44800040000,1222
46400040000,1293
48000040000,1287
49600040000,1305
51200040000,1394
52800040000,1390
54400040000,1400
56000040000,1472
57600040000,1480
59200040000,1486
60800040000,1564
62400040000,1613
64000040000,1624
65600040000,1632
67200040000,1690
68800040000,1718
70400040000,1791
72000040000,1745
73600040000,1853
75200040000,1859
76800040000,1859
78400040000,1915
80000040000,1934
81600040000,2013
83200040000,2047
84800040000,2103
