40000,8
1600040000,325
3200040000,613
4800040000,852
6400040000,1165
8000040000,1396
9600040000,1675
11200040000,1930
12800040000,2222
14400040000,2494
16000040000,2766
17600040000,3065
19200040000,3337
20800040000,3607
22400040000,4005
24000040000,4135
25600040000,4467
27200040000,4746
28800040000,4984
30400040000,5258
32000040000,5514
33600040000,5906
35200040000,6083
36800040000,6406
38400040000,6633
40000040000,6917
41600040000,7254
43200040000,7497
44800040000,7754
46400040000,8173
48000040000,8325
49600040000,8651
51200040000,8909
52800040000,9396
54400040000,9367
56000040000,9685
57600040000,10007
59200040000,10262
60800040000,10562
62400040000,10794
64000040000,11015
65600040000,11347
67200040000,11678
68800040000,12043
70400040000,12306
72000040000,12499
73600040000,12802
75200040000,12964
76800040000,13256
78400040000,13526
80000040000,13894
81600040000,14010
83200040000,14403
84800040000,14706
