40000,273
1600040000,298
3200040000,340
4800040000,352
6400040000,387
8000040000,433
9600040000,450
11200040000,481
12800040000,523
14400040000,566
16000040000,576
17600040000,641
19200040000,663
20800040000,679
22400040000,739
24000040000,760
25600040000,797
27200040000,868
28800040000,848
30400040000,903
32000040000,911
33600040000,950
35200040000,1018
36800040000,1022
38400040000,1061
40000040000,1069
41600040000,1137
43200040000,1162
44800040000,1253
46400040000,1230
48000040000,1352
49600040000,1315
51200040000,1323
52800040000,1401
54400040000,1491
56000040000,1490
57600040000,1481
59200040000,1562
60800040000,1522
62400040000,1586
64000040000,1734
65600040000,1682
67200040000,1676
68800040000,1674
70400040000,1704
72000040000,1778
73600040000,1853
75200040000,1863
76800040000,1885
78400040000,1905
80000040000,1930
81600040000,2195
83200040000,2042
84800040000,2148
